road_name,street_name,route_code,route_name,adt,aawdt,peak_hour_estimate,traffic_level,data_date,data_quality,latitude,longitude
I66 WB,I66,R-VA   IS00066WB,I-66W,166000,175000.0,16600.0,Very High,1641013200000,G,38.875718566573966,-77.28128839109426
I66 WB,I66,R-VA   IS00066WB,I-66W,166000,175000.0,16600.0,Very High,1641013200000,G,38.875089806600776,-77.28343677305375
DULLES ACCESS RD WB,DULLES ACCESS,R-VA   OT90004WB,OT-90004W,17000,18000.0,1700.0,High,1641013200000,G,38.93197463006517,-77.21157301872246
DULLES ACCESS RD WB,DULLES ACCESS,R-VA   OT90004WB,OT-90004W,17000,18000.0,1700.0,High,1641013200000,G,38.93142212551747,-77.21004166542996
DULLES ACCESS RD EB,DULLES ACCESS,R-VA   OT90004EB,OT-90004E,17000,18000.0,1700.0,High,1641013200000,G,38.93172957487822,-77.21171343786224
DULLES ACCESS RD EB,DULLES ACCESS,R-VA   OT90004EB,OT-90004E,17000,18000.0,1700.0,High,1641013200000,G,38.931155142256415,-77.21012941068554
RT267 EB,RT267,R-VA   OT90004EB,OT-90004E,17000,18000.0,1700.0,High,1641013200000,G,38.930931790142026,-77.2101027684604
I495 SB RAMP TO RT267 EB,I495 SB RAMP TO RT267 EB,R-VA   OT90004EB,OT-90004E,17000,18000.0,1700.0,High,1641013200000,G,38.93086685551394,-77.21016392547453
SUNSET HILLS RD,SUNSET HILLS,R-VA029SC00675EB,SC-675E (Fairfax County),55000,96000.0,5500.0,Very High,1641013200000,G,38.95761296000137,-77.37177555732437
SUNSET HILLS RD,SUNSET HILLS,R-VA029SC00675EB,SC-675E (Fairfax County),55000,96000.0,5500.0,Very High,1641013200000,G,38.95718816979131,-77.37108181908874
SUNSET HILLS RD,SUNSET HILLS,R-VA029SC00675EB,SC-675E (Fairfax County),55000,96000.0,5500.0,Very High,1641013200000,G,38.95731121983952,-77.37102129131233
PLEASANT VALLEY RD,PLEASANT VALLEY,R-VA029SC00609NB,SC-609N (Fairfax County),8200,13000.0,820.0,Moderate,1641013200000,G,38.8739224135903,-77.49241703460801
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674SB,SC-674S (Fairfax County),14000,26000.0,1400.0,Moderate,1641013200000,G,38.93062555172809,-77.30498854752908
OLD LEE RD,OLD LEE,R-VA029SC00620EB,SC-620E (Fairfax County),8800,13000.0,880.0,Moderate,1641013200000,G,38.878496278643695,-77.47111760610726
BRADDOCK RD,BRADDOCK,R-VA029SC00620EB,SC-620E (Fairfax County),8800,9200.0,880.0,Moderate,1641013200000,G,38.88017537030511,-77.48241199941003
BROWNS MILL RD,BROWNS MILL,R-VA029SC00675EB,SC-675E (Fairfax County),7600,14000.0,760.0,Moderate,1641013200000,G,38.95125789966898,-77.2865075731671
PLEASANT VALLEY RD,PLEASANT VALLEY,R-VA029SC00609SB,SC-609S (Fairfax County),8200,13000.0,820.0,Moderate,1641013200000,G,38.88899977831904,-77.48175535020145
FOX MILL RD,FOX MILL,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.9121111682435,-77.36328507257409
FOX MILL RD,FOX MILL,R-VA029SC00665EB,SC-665E (Fairfax County),5700,6100.0,570.0,Moderate,1641013200000,G,38.90845970698953,-77.36077996908499
STRINGFELLOW RD,STRINGFELLOW,R-VA029SC07700EB,SC-7700E (Fairfax County),23000,32000.0,2300.0,High,1641013200000,G,38.86022757488756,-77.40526608004905
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.84031192697699,-77.39894202866444
WALNEY RD,WALNEY,R-VA029SC08313EB,SC-8313E (Fairfax County),15000,17000.0,1500.0,High,1432612800000,R,38.88319805237852,-77.43810318926023
ROUTE 29,ROUTE 29,R-VA029SC08285SB,SC-8285S (Fairfax County),31000,33000.0,3100.0,Very High,1641013200000,G,38.83946443553887,-77.41254994009711
ROUTE 29,ROUTE 29,R-VA029SC07885NB,SC-7885N (Fairfax County),31000,33000.0,3100.0,Very High,996724800000,R,38.840987124428224,-77.39408116704121
AVION PKWY,AVION,R-VA   US00050EB,US-50E,66000,70000.0,6600.0,Very High,1641013200000,G,38.90307578859354,-77.4496355654994
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.84013490240033,-77.40368395849697
LAWYERS RD,LAWYERS,R-VA029SC00673EB,SC-673E (Fairfax County),11000,19000.0,1100.0,Moderate,1641013200000,G,38.916002312773664,-77.29874836369889
ROUTE 29,ROUTE 29,R-VA029SC08285SB,SC-8285S (Fairfax County),31000,33000.0,3100.0,Very High,1641013200000,G,38.83932633856303,-77.41257681864785
AVION PKWY,AVION,R-VA   US00050EB,US-50E,66000,70000.0,6600.0,Very High,1641013200000,G,38.903036103636985,-77.44945085633333
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.84002053375505,-77.40371168242004
BROWNS MILL RD,BROWNS MILL,R-VA029SC00675EB,SC-675E (Fairfax County),7600,14000.0,760.0,Moderate,1641013200000,G,38.9547493207198,-77.29442871908772
BRADDOCK RD,BRADDOCK,R-VA053SC00620EB,SC-620E (Loudoun County),13000,13000.0,1300.0,Moderate,1641013200000,G,38.88495728370096,-77.492372634967
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674SB,SC-674S (Fairfax County),14000,26000.0,1400.0,Moderate,1641013200000,G,38.929344687450076,-77.30521630365094
OLD LEE RD,OLD LEE,R-VA029SC00661NB,SC-661N (Fairfax County),18000,19000.0,1800.0,High,1641013200000,G,38.88350569097459,-77.46518261975926
WALNEY RD,WALNEY,R-VA029SC00657NB,SC-657N (Fairfax County),15000,17000.0,1500.0,High,1641013200000,G,38.88141519186156,-77.43809495205369
BROWNS MILL RD,BROWNS MILL,R-VA029SC00675EB,SC-675E (Fairfax County),7600,14000.0,760.0,Moderate,1641013200000,G,38.9518331124322,-77.2886415649614
LAWYERS RD,LAWYERS,R-VA029SC00673EB,SC-673E (Fairfax County),11000,19000.0,1100.0,Moderate,1641013200000,G,38.91774616131185,-77.30154018304519
OLD LEE RD,OLD LEE,R-VA029SC00661NB,SC-661N (Fairfax County),7900,13000.0,790.0,Moderate,1641013200000,G,38.882180327430895,-77.47024585424577
OLD LEE RD,OLD LEE,R-VA029SC00661NB,SC-661N (Fairfax County),7900,13000.0,790.0,Moderate,1641013200000,G,38.882585264989146,-77.46900587088294
WALNEY RD,WALNEY,R-VA029SC00657NB,SC-657N (Fairfax County),15000,17000.0,1500.0,High,1641013200000,G,38.88211976686692,-77.438176446506
ROUTE 29,ROUTE 29,R-VA029SC07885NB,SC-7885N (Fairfax County),31000,33000.0,3100.0,Very High,996724800000,R,38.8411002862816,-77.39405119626699
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.84081726651515,-77.39539491439301
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.84036286451566,-77.39713836842907
BROWNS MILL RD,BROWNS MILL,R-VA029SC00675EB,SC-675E (Fairfax County),7600,14000.0,760.0,Moderate,1641013200000,G,38.95079692548475,-77.28515001354867
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674SB,SC-674S (Fairfax County),14000,26000.0,1400.0,Moderate,1641013200000,G,38.9285128342471,-77.30532164442064
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674SB,SC-674S (Fairfax County),14000,26000.0,1400.0,Moderate,1641013200000,G,38.931951862276776,-77.30491223719682
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.840169266306695,-77.40229642226889
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.84005588346103,-77.40231713816118
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,31000,33000.0,3100.0,Very High,1641013200000,G,38.83923919616697,-77.41427617566546
BROWNS MILL RD,BROWNS MILL,R-VA029SC00675EB,SC-675E (Fairfax County),7600,14000.0,760.0,Moderate,1641013200000,G,38.95363626152481,-77.29169014211013
BROWNS MILL RD,BROWNS MILL,R-VA029SC00675EB,SC-675E (Fairfax County),7600,14000.0,760.0,Moderate,1641013200000,G,38.95264410243646,-77.29067045500562
PLEASANT VALLEY RD,PLEASANT VALLEY,R-VA029SC00609NB,SC-609N (Fairfax County),8800,13000.0,880.0,Moderate,1641013200000,G,38.88095057049687,-77.48649753105224
PLEASANT VALLEY RD,PLEASANT VALLEY,R-VA029SC00609SB,SC-609S (Fairfax County),8800,13000.0,880.0,Moderate,1641013200000,G,38.88235801588027,-77.48477548448395
BRADDOCK RD,BRADDOCK,R-VA029SC00620EB,SC-620E (Fairfax County),8800,13000.0,880.0,Moderate,1641013200000,G,38.881228557749296,-77.48464427677327
BRADDOCK RD,BRADDOCK,R-VA029SC00609SB,SC-609S (Fairfax County),8800,13000.0,880.0,Moderate,1641013200000,G,38.88228747083798,-77.48683913277891
SPRINGVALE RD,SPRINGVALE,R-VA029SC00674NB,SC-674N (Fairfax County),5100,9600.0,510.0,Moderate,1641013200000,G,38.98081338806367,-77.31271813151932
SPRINGVALE RD,SPRINGVALE,R-VA029SC00674NB,SC-674N (Fairfax County),5100,9600.0,510.0,Moderate,1641013200000,G,38.979801300702455,-77.31354701803366
SPRINGVALE RD,SPRINGVALE,R-VA029SC05970EB,SC-5970E (Fairfax County),5100,9600.0,510.0,Moderate,1532491200000,R,38.98281175806596,-77.31153359096662
SPRINGVALE RD,SPRINGVALE,R-VA029SC00674NB,SC-674N (Fairfax County),5100,9600.0,510.0,Moderate,1641013200000,G,38.98164523651971,-77.31203341158864
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674NB,SC-674N (Fairfax County),7900,15000.0,790.0,Moderate,1641013200000,G,38.96505699229829,-77.30950612833438
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674NB,SC-674N (Fairfax County),7900,15000.0,790.0,Moderate,1641013200000,G,38.96262732903129,-77.30903599436114
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674NB,SC-674N (Fairfax County),7900,15000.0,790.0,Moderate,1641013200000,G,38.966039900749536,-77.30975163653554
HUNTER MILL RD,HUNTER MILL,R-VA029SC00674NB,SC-674N (Fairfax County),7900,15000.0,790.0,Moderate,1641013200000,G,38.96794185345925,-77.31010594981723
JERMANTOWN RD,JERMANTOWN,R-VA   IS00066WB,I-66W,171000,180000.0,17100.0,Very High,1641013200000,G,38.86643444650597,-77.32205255224099
OX RD,OX,R-VA   SR00123NB,VA-123N,25000,27000.0,2500.0,High,1641013200000,G,38.83588600268193,-77.31182123073698
OX RD,OX,R-VA   SR00123NB,VA-123N,25000,27000.0,2500.0,High,1641013200000,G,38.83588576118664,-77.31167482327386
ROUTE 50,ROUTE 50,R-VA   US00050EB,US-50E,51000,55000.0,5100.0,Very High,1641013200000,G,38.85687623917355,-77.33446388498753
I66 EB RAMP TO RT123 SB,I66 EB RAMP TO RT123 SB,R-VA   SR00123NB,VA-123N,19000,20000.0,1900.0,High,1641013200000,G,38.86655866518467,-77.30901654869565
ROUTE 50,ROUTE 50,R-VA   US00050EB,US-50E,51000,55000.0,5100.0,Very High,1641013200000,G,38.85704199128171,-77.33436890537855
ROUTE 29,ROUTE 29,R-VA   US00029NB,US-29N,38000,40000.0,3800.0,Very High,1641013200000,G,38.85159353555564,-77.33280345780075
JERMANTOWN RD,JERMANTOWN,R-VA029SC00655EB,SC-655E (Fairfax County),171000,180000.0,17100.0,Very High,1641013200000,G,38.865687507293984,-77.32261496519469
FAIR WOODS PKWY,FAIR WOODS,R-VA   US00029NB,US-29N,42000,44000.0,4200.0,Very High,1641013200000,G,38.86212974073493,-77.29358996734115
JERMANTOWN RD,JERMANTOWN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.86210479335327,-77.32655906643546
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123SB,VA-123S,35000,38000.0,3500.0,Very High,1641013200000,G,38.861229350221265,-77.30739386157776
EATON PL,EATON,R-VA   SR00123SB,VA-123S,35000,38000.0,3500.0,Very High,1641013200000,G,38.86122294885742,-77.30716919008799
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123SB,VA-123S,35000,38000.0,3500.0,Very High,1641013200000,G,38.861222491827505,-77.30755106054393
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123SB,VA-123S,35000,38000.0,3500.0,Very High,1641013200000,G,38.86145128991067,-77.30776019330465
JERMANTOWN RD,JERMANTOWN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.8614783501972,-77.32716368631768
ASSEMBLY DR,ASSEMBLY,R-VA   SR00123SB,VA-123S,35000,38000.0,3500.0,Very High,1641013200000,G,38.86094074608894,-77.30916035171667
EATON PL,EATON,R-VA   US00029NB,US-29N,42000,44000.0,4200.0,Very High,1641013200000,G,38.86100549465045,-77.3029476316641
LITTLE BROOK LN,LITTLE BROOK,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.860988058215646,-77.3290818853795
ROCK GARDEN DR,ROCK GARDEN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.86059156230373,-77.32932178876398
JERMANTOWN RD,JERMANTOWN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.86066055621803,-77.32796658926411
ROCK GARDEN DR,ROCK GARDEN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.860294921573995,-77.32849017992454
SNUG HAVEN LN,SNUG HAVEN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.860211848602916,-77.32958934450832
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123SB,VA-123S,35000,38000.0,3500.0,Very High,1641013200000,G,38.860389921543565,-77.307466413234
JERMANTOWN RD,JERMANTOWN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.85996292484808,-77.32866157111498
JERMANTOWN RD,JERMANTOWN,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.85939297493164,-77.3292202569069
COPPER LN,COPPER,S-VA151PR JERMANTOWN RD,Jermantown RD (PR - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.85956446448058,-77.33055839034509
JERMANTOWN RD,JERMANTOWN,S-VA151NP JERMANTOWN RD,Jermantown RD (NP - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.85891331035642,-77.32969230867872
CHURCH ST,CHURCH,S-VA151NP JERMANTOWN RD,Jermantown RD (NP - City of Fairfax),15000,15000.0,1500.0,High,1641013200000,G,38.8590053189623,-77.33062711506204
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   US00029NB,US-29N,35000,38000.0,3500.0,Very High,1641013200000,G,38.85879340836193,-77.30750373356662
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   US00029NB,US-29N,35000,38000.0,3500.0,Very High,1641013200000,G,38.85828748015873,-77.30737074751285
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   US00029NB,US-29N,35000,38000.0,3500.0,Very High,1641013200000,G,38.85824010286083,-77.30750499044083
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   US00029NB,US-29N,35000,38000.0,3500.0,Very High,1641013200000,G,38.85803138409931,-77.30750343298166
RT29 NB RAMP TO RT123 SB,RT29 NB RAMP TO RT123 SB,R-VA   US00029NB,US-29N,35000,38000.0,3500.0,Very High,1641013200000,G,38.857978075818245,-77.30780411688608
STRATFORD AVE,STRATFORD,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.85856053670717,-77.30061175632491
UNIVERSITY DR,UNIVERSITY,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),42000,44000.0,4200.0,Very High,1641013200000,G,38.85863607940744,-77.3030568977308
STRATFORD AVE,STRATFORD,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.8575238620469,-77.30296858696512
WARWICK AVE,WARWICK,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.856782965348614,-77.31162564878917
MCLEAN AVE,MCLEAN,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.8575802807289,-77.31185500828975
WARWICK AVE,WARWICK,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.8568518584345,-77.31305234913911
MCLEAN AVE,MCLEAN,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.856755015227726,-77.31195471061969
FARR AVE,FARR,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.85698361987155,-77.31017780162865
WARWICK AVE,WARWICK,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.8567227259586,-77.31089453312273
MCLEAN AVE,MCLEAN,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.85665350155971,-77.31196341474097
WARWICK AVE,WARWICK,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.85659335370508,-77.30841386702888
JERMANTOWN RD,JERMANTOWN,S-VA151NP JERMANTOWN RD,Jermantown RD (NP - City of Fairfax),28000,31000.0,2800.0,High,1641013200000,G,38.85611811872721,-77.33238234113502
JERMANTOWN RD,JERMANTOWN,S-VA151NP JERMANTOWN RD,Jermantown RD (NP - City of Fairfax),28000,31000.0,2800.0,High,1641013200000,G,38.856068260789925,-77.33225082095589
UNIVERSITY DR,UNIVERSITY,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.85665237197725,-77.30192569349687
JEAN ST,JEAN,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.85566797895716,-77.30044847375403
STRATFORD AVE,STRATFORD,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.855439580060775,-77.30618222454285
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.85589454230135,-77.30737734027554
UNIVERSITY DR,UNIVERSITY,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.855047610397726,-77.30140839344429
WOOD RD,WOOD,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.85458962206653,-77.30221712715704
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.85488748535748,-77.30739336683683
PROVIDENCE WAY,PROVIDENCE,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.854574648677406,-77.3087806448952
BEVAN DR,BEVAN,R-VA   US00050EB,US-50E,28000,31000.0,2800.0,High,1641013200000,G,38.85539658054431,-77.32799505078808
BEVAN DR,BEVAN,R-VA   US00050EB,US-50E,28000,31000.0,2800.0,High,1641013200000,G,38.85461929470097,-77.32848337730724
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.85436599177379,-77.30741658920974
FAIRCHESTER DR,FAIRCHESTER,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.85486299321058,-77.31898437375835
CEDAR AVE,CEDAR,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.85419928510124,-77.31822170120034
CHAIN BRIDGE RD,CHAIN BRIDGE,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.85385405116232,-77.30744115725781
JENNY LYNNE LN,JENNY LYNNE,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.85387920996194,-77.3070955433331
CEDAR AVE,CEDAR,R-VA   SR00123NB,VA-123N,14000,15000.0,1400.0,Moderate,1641013200000,G,38.853484313805104,-77.30896597743393
MCLEAN AVE,MCLEAN,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.855023528641595,-77.31204504560401
UNIVERSITY DR,UNIVERSITY,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.85389341159937,-77.30148303886398
FORD RD,FORD,S-VA151PR UNIVERSITY DR,University DR (PR - City of Fairfax),2800,3000.0,280.0,Low,1641013200000,G,38.8535385808601,-77.30249800813736
WALNUT ST,WALNUT,R-VA   US00029NB,US-29N,31000,34000.0,3100.0,Very High,1641013200000,G,38.85387875351068,-77.31802329486501
